model_name,imbalance_strategy,precision,recall,f1,roc_auc,pr_auc,confusion_matrix
logistic_regression,none,1.0,1.0,1.0,1.0,1.0,"[[2048, 0], [0, 8]]"
logistic_regression,smote,1.0,1.0,1.0,1.0,1.0,"[[2048, 0], [0, 8]]"
random_forest,smote,1.0,1.0,1.0,1.0,1.0,"[[2048, 0], [0, 8]]"
xgboost,none,0.8888888888888888,1.0,0.9411764705882353,1.0,1.0,"[[2047, 1], [0, 8]]"
gradient_boosting,smote,0.8888888888888888,1.0,0.9411764705882353,1.0,1.0,"[[2047, 1], [0, 8]]"
random_forest,none,1.0,0.875,0.9333333333333333,1.0,1.0,"[[2048, 0], [1, 7]]"
svm,none,1.0,0.875,0.9333333333333333,1.0,1.0,"[[2048, 0], [1, 7]]"
svm,smote,1.0,0.875,0.9333333333333333,0.99993896484375,0.9861111111111112,"[[2048, 0], [1, 7]]"
xgboost,smote,0.8,1.0,0.8888888888888888,1.0,1.0,"[[2046, 2], [0, 8]]"
gradient_boosting,none,0.875,0.875,0.875,0.93707275390625,0.8754863813229572,"[[2047, 1], [1, 7]]"
logistic_regression,undersample,0.5333333333333333,1.0,0.6956521739130435,1.0,1.0,"[[2041, 7], [0, 8]]"
random_forest,undersample,0.47058823529411764,1.0,0.64,0.99993896484375,0.9861111111111112,"[[2039, 9], [0, 8]]"
svm,undersample,0.21621621621621623,1.0,0.35555555555555557,0.9986572265625,0.9083333333333333,"[[2019, 29], [0, 8]]"
xgboost,undersample,0.1038961038961039,1.0,0.18823529411764706,1.0,1.0,"[[1979, 69], [0, 8]]"
gradient_boosting,undersample,0.03076923076923077,1.0,0.05970149253731343,0.99151611328125,0.7694711538461538,"[[1796, 252], [0, 8]]"
